fold,train_start,train_end,test_start,test_end,train_N,train_EV,train_PnL,train_WR,test_N,test_EV,test_PnL,test_WR,test_PF,symbol,tf,strat,tp,sl,mh
1,200,620,620,760,7,0.221142857142864,1.548000000000048,28.57142857142857,2,6.646500000000018,13.293000000000037,100.0,10.0,ICPUSDT,6h,EMA_CROSS,7.0,2.0,36
2,340,760,760,900,8,1.0243125000000084,8.194500000000067,37.5,2,6.6465000000000165,13.293000000000033,100.0,10.0,ICPUSDT,6h,EMA_CROSS,7.0,2.0,36
3,480,900,900,1040,7,2.791285714285725,19.539000000000076,57.14285714285714,1,-2.3489999999999966,-2.3489999999999966,0.0,0.0,ICPUSDT,6h,EMA_CROSS,7.0,2.0,36
4,620,1040,1040,1180,5,4.847400000000015,24.237000000000073,80.0,1,-2.3489999999999984,-2.3489999999999984,0.0,0.0,ICPUSDT,6h,EMA_CROSS,7.0,2.0,36
5,760,1180,1180,1320,4,2.1487500000000095,8.595000000000038,50.0,2,-2.348999999999998,-4.697999999999996,0.0,0.0,ICPUSDT,6h,EMA_CROSS,7.0,2.0,36
1,200,620,620,760,6,3.3148333333333397,19.88900000000004,66.66666666666666,5,0.6495000000000077,3.2475000000000387,40.0,1.3232790801851617,ICPUSDT,4h,EMA_CROSS,7.0,3.0,36
2,340,760,760,900,9,1.093722222222228,9.843500000000052,44.44444444444444,4,-3.3485000000000005,-13.394000000000002,0.0,0.0,ICPUSDT,4h,EMA_CROSS,7.0,3.0,36
3,480,900,900,1040,10,-0.3499999999999945,-3.499999999999945,30.0,4,1.6490000000000065,6.596000000000026,50.0,1.984918620277741,ICPUSDT,4h,EMA_CROSS,7.0,3.0,36
4,620,1040,1040,1180,13,-0.2731153846153799,-3.5504999999999383,30.76923076923077,4,1.6490000000000042,6.596000000000017,50.0,1.9849186202777391,ICPUSDT,4h,EMA_CROSS,7.0,3.0,36
5,760,1180,1180,1320,12,-0.016833333333329852,-0.2019999999999582,33.33333333333333,3,-0.625014414489485,-1.875043243468455,33.33333333333333,0.7200174341543288,ICPUSDT,4h,EMA_CROSS,7.0,3.0,36
1,200,620,620,760,14,0.07835714285714974,1.0970000000000963,57.14285714285714,5,0.24970000000000692,1.2485000000000346,60.0,1.1864267582499677,SOLUSDT,4h,MACD_CROSS,3.0,3.0,48
2,340,760,760,900,15,-0.15009999999999354,-2.2514999999999032,53.333333333333336,5,0.24970000000000675,1.2485000000000337,60.0,1.1864267582499681,SOLUSDT,4h,MACD_CROSS,3.0,3.0,48
3,480,900,900,1040,15,-0.1500999999999927,-2.251499999999891,53.333333333333336,5,1.4491000000000065,7.245500000000033,80.0,3.1638046886665787,SOLUSDT,4h,MACD_CROSS,3.0,3.0,48
4,620,1040,1040,1180,15,0.6495000000000067,9.742500000000101,66.66666666666666,5,0.24970000000000958,1.248500000000048,60.0,1.1864267582499701,SOLUSDT,4h,MACD_CROSS,3.0,3.0,48
5,760,1180,1180,1320,15,0.6495000000000076,9.742500000000115,66.66666666666666,4,2.648500000000009,10.594000000000037,100.0,10.0,SOLUSDT,4h,MACD_CROSS,3.0,3.0,48
1,200,620,620,760,10,0.14975000000000546,1.4975000000000547,50.0,2,-2.349000000000001,-4.698000000000002,0.0,0.0,XRPUSDT,4h,BREAKOUT,3.0,2.0,24
2,340,760,760,900,10,-0.34999999999999576,-3.4999999999999574,40.0,2,-2.3489999999999904,-4.697999999999981,0.0,0.0,XRPUSDT,4h,BREAKOUT,3.0,2.0,24
3,480,900,900,1040,9,-1.238444444444441,-11.145999999999969,22.22222222222222,7,1.2206428571428636,8.544500000000046,71.42857142857143,2.8187526607066933,XRPUSDT,4h,BREAKOUT,3.0,2.0,24
4,620,1040,1040,1180,11,-0.07740909090908522,-0.8514999999999375,45.45454545454545,1,-2.348999999999993,-2.348999999999993,0.0,0.0,XRPUSDT,4h,BREAKOUT,3.0,2.0,24
5,760,1180,1180,1320,10,0.14975000000000716,1.4975000000000716,50.0,3,0.9826666666666739,2.9480000000000217,66.66666666666666,2.2550021285653563,XRPUSDT,4h,BREAKOUT,3.0,2.0,24
1,200,620,620,760,11,0.14180399172778635,1.5598439090056497,36.36363636363637,4,1.399125000000005,5.59650000000002,50.0,2.5131810193321673,SOLUSDT,1h,ADX_TREND,5.0,1.5,48
2,340,760,760,900,10,-0.30876560909943845,-3.0876560909943844,30.0,2,1.3991250000000064,2.798250000000013,50.0,2.5131810193321673,SOLUSDT,1h,ADX_TREND,5.0,1.5,48
3,480,900,900,1040,10,0.3409093909005615,3.409093909005615,40.0,2,-1.8492500000000027,-3.6985000000000054,0.0,0.0,SOLUSDT,1h,ADX_TREND,5.0,1.5,48
4,620,1040,1040,1180,8,0.5870312500000041,4.696250000000033,37.5,2,-1.1995625312343692,-2.3991250624687384,0.0,0.0,SOLUSDT,1h,ADX_TREND,5.0,1.5,48
5,760,1180,1180,1320,6,-0.5498958437447876,-3.2993750624687257,16.666666666666664,5,-0.03817243132164463,-0.19086215660822314,40.0,0.965596474857695,SOLUSDT,1h,ADX_TREND,5.0,1.5,48
