fold,train_N,train_EV,train_PnL,test_N,test_EV,test_PnL,test_WR,test_PF,symbol,tf,strat,exit_label,label
1,6,3.1364040157045427,18.818424094227257,4,1.6316733600261322,6.526693440104529,75.0,2.2701989142792147,ICPUSDT,4h,EMA_CROSS,ATR_2.0_1.5,BEST_BALANCED
2,8,2.2687191476827837,18.14975318146227,3,-1.6318559340470795,-4.8955678021412385,33.33333333333333,0.3619770830310513,ICPUSDT,4h,EMA_CROSS,ATR_2.0_1.5,BEST_BALANCED
3,8,0.7165044148960926,5.732035319168741,2,-0.23439328427437633,-0.46878656854875267,50.0,0.8569474760591994,ICPUSDT,4h,EMA_CROSS,ATR_2.0_1.5,BEST_BALANCED
4,9,0.12914878549050415,1.1623390694145375,1,3.871069065902911,3.871069065902911,100.0,10.0,ICPUSDT,4h,EMA_CROSS,ATR_2.0_1.5,BEST_BALANCED
5,6,-0.24888088413118004,-1.4932853047870802,2,-1.0428515371177198,-2.0857030742354397,50.0,0.5114746379337883,ICPUSDT,4h,EMA_CROSS,ATR_2.0_1.5,BEST_BALANCED
1,6,2.816558666528413,16.899351999170477,4,0.9405554990114902,3.7622219960459606,25.0,1.3199380711654938,ICPUSDT,4h,EMA_CROSS,CHAN_3.5,BEST_TOTAL_PNL
2,8,2.520424078450487,20.163392627603898,3,-3.4607753509561348,-10.382326052868404,0.0,0.0,ICPUSDT,4h,EMA_CROSS,CHAN_3.5,BEST_TOTAL_PNL
3,8,1.3469882797031845,10.775906237625476,2,2.70688293081742,5.41376586163484,50.0,2.252620718429952,ICPUSDT,4h,EMA_CROSS,CHAN_3.5,BEST_TOTAL_PNL
4,9,-0.13403757724306686,-1.2063381951876018,1,1.7680131934785084,1.7680131934785084,100.0,10.0,ICPUSDT,4h,EMA_CROSS,CHAN_3.5,BEST_TOTAL_PNL
5,6,-0.5334244996258426,-3.2005469977550556,2,-4.018768595653832,-8.037537191307663,50.0,0.15351867350861884,ICPUSDT,4h,EMA_CROSS,CHAN_3.5,BEST_TOTAL_PNL
1,6,1.8418243366409646,11.050946019845787,5,1.4568315324456809,7.284157662228404,20.0,1.8842912098937579,ICPUSDT,4h,EMA_CROSS,HYBRID_1.0_2.5_noTP,HYBRID_SAFE
2,9,1.827455778813682,16.44710200932314,3,-1.9666504783573753,-5.899951435072126,0.0,0.0,ICPUSDT,4h,EMA_CROSS,HYBRID_1.0_2.5_noTP,HYBRID_SAFE
3,9,1.4269036562078032,12.84213290587023,2,1.7173625244565753,3.4347250489131507,50.0,2.5280245549281433,ICPUSDT,4h,EMA_CROSS,HYBRID_1.0_2.5_noTP,HYBRID_SAFE
4,10,0.481893127606943,4.81893127606943,1,3.860519762604782,3.860519762604782,100.0,10.0,ICPUSDT,4h,EMA_CROSS,HYBRID_1.0_2.5_noTP,HYBRID_SAFE
5,6,0.23254889607430118,1.395293376445807,2,-1.60379516104434,-3.20759032208868,0.0,0.0,ICPUSDT,4h,EMA_CROSS,HYBRID_1.0_2.5_noTP,HYBRID_SAFE
1,6,5.185524864460547,31.11314918676328,3,-3.052126186974974,-9.156378560924923,0.0,0.0,ICPUSDT,4h,DIVERGENCE,CHAN_3.5,DIVERGENCE_ATR
2,7,2.2880632029594667,16.016442420716267,2,-2.8657646114978017,-5.731529222995603,0.0,0.0,ICPUSDT,4h,DIVERGENCE,CHAN_3.5,DIVERGENCE_ATR
3,6,1.1102390808994318,6.661434485396591,1,9.051449043088477,9.051449043088477,100.0,10.0,ICPUSDT,4h,DIVERGENCE,CHAN_3.5,DIVERGENCE_ATR
4,6,-0.9727431234720081,-5.8364587408320485,1,1.7680131934785084,1.7680131934785084,100.0,10.0,ICPUSDT,4h,DIVERGENCE,CHAN_3.5,DIVERGENCE_ATR
5,4,1.2719832533928455,5.087933013571382,2,-2.472442203002725,-4.94488440600545,50.0,0.10858133425936474,ICPUSDT,4h,DIVERGENCE,CHAN_3.5,DIVERGENCE_ATR
1,8,-1.2934456233174496,-10.347564986539597,2,-2.613854549741669,-5.227709099483338,0.0,0.0,XRPUSDT,4h,BREAKOUT,HYBRID_1.5_2.5_3.0,XRP_DIVERSIFIER
2,8,-1.2455398126782353,-9.964318501425883,2,-2.805027820431653,-5.610055640863306,0.0,0.0,XRPUSDT,4h,BREAKOUT,HYBRID_1.5_2.5_3.0,XRP_DIVERSIFIER
3,8,-2.2364058081982927,-17.89124646558634,4,3.197073181316276,12.788292725265103,75.0,6.081701021289334,XRPUSDT,4h,BREAKOUT,HYBRID_1.5_2.5_3.0,XRP_DIVERSIFIER
4,8,0.24381599811480736,1.950527984918459,1,-3.5812529981112924,-3.5812529981112924,0.0,0.0,XRPUSDT,4h,BREAKOUT,HYBRID_1.5_2.5_3.0,XRP_DIVERSIFIER
5,7,0.5138548694700722,3.5969840862905054,2,3.4995313016941454,6.999062603388291,100.0,10.0,XRPUSDT,4h,BREAKOUT,HYBRID_1.5_2.5_3.0,XRP_DIVERSIFIER
